Texto,Categoria_Real,Categoria_Predicha
theoretical predictions properties supercurrent tunnel barrier particular phenomena generally known josephson effects,physics,physics
profoundly characteristic narrative art motifs life jewish people,literature,literature
elucidation enzymatic mechanism underlying synthesis adenosine triphosphate atp,chemistry,chemistry
discoveries concerning chemical structure antibodies,medicine,medicine
discovery connection collective motion particle motion atomic nuclei development theory structure atomic nucleus based connection,physics,physics
development method genome editing,chemistry,physics
discovery cosmic microwave background radiation,physics,physics
poetry background greek tradition depicts sensuous strength intellectual clear sightedness modern man s struggle freedom creativeness,literature,literature
strict artistry carried classical russian traditions prose writing,literature,literature
discovery catalytic properties rna,chemistry,medicine
investigations physics upper atmosphere especially discovery called appleton layer,physics,physics
invention polymerase chain reaction pcr method,chemistry,chemistry
research nature chemical bond application elucidation structure complex substances,chemistry,chemistry
work dioptrics eye,medicine,medicine
discovery laws governing impact electron atom,physics,physics
discoveries concerning nitric oxide signalling molecule cardiovascular,medicine,medicine
discoveries concerning nuclear shell structure,physics,medicine
narrative imagination encyclopedic passion represents crossing boundaries form life,literature,literature
methods analyzing economic time series time varying volatility arch,economics,economics
neutrino beam method demonstration doublet structure leptons discovery muon neutrino,physics,physics
crucial role bringing locarno treaty,peace,peace
discoveries concerning genetically determined structures cell surface regulate immunological reactions,medicine,medicine
discovery accelerating expansion universe observations distant supernovae,physics,physics
discovery enzyme importance intermediary metabolism,medicine,medicine
invention apparatus produce extremely high pressures discoveries therewith field high pressure physics,physics,physics
development computer assisted tomography,medicine,medicine
poetry action elemental force brings alive continent s destiny dreams,literature,literature
research banks financial crises,economics,economics
discoveries concerning regulation cholesterol metabolism,medicine,medicine
directed evolution enzymes,chemistry,chemistry
discoveries concerning primary physiological chemical visual processes eye,medicine,medicine
discovery hepatitis c virus,medicine,medicine
discovery mature cells reprogrammed pluripotent,medicine,medicine
discovery therapeutic value leucotomy certain psychoses,medicine,medicine
happy manner continued illustrious traditions spanish drama,literature,literature
studies extremely fast chemical reactions effected disturbing equilibrium means short pulses energy,chemistry,chemistry
discoveries concerning new mechanisms origin dissemination infectious diseases,medicine,medicine
efforts peaceful solution conflict northern ireland,peace,peace
discovery giant magnetoresistance,physics,physics
creation quantum mechanics application inter alia led discovery allotropic forms hydrogen,physics,physics
discoveries concerning heart catheterization pathological changes circulatory,medicine,medicine
promoting fundamental rights refugees,peace,peace
courageous efforts founding movement end violent conflict northern ireland,peace,peace
analysis financial markets relations expenditure decisions employment production prices,economics,economics
discovery origin broken symmetry predicts existence families quarks nature,physics,physics
discoveries relating hormones adrenal cortex structure biological effects,medicine,medicine
achievement bose einstein condensation dilute gases alkali atoms early fundamental studies properties condensates,physics,physics
discoveries concerning genetically determined structures cell surface regulate immunological reactions,medicine,medicine
important break discovery superconductivity ceramic materials,physics,physics
prominent position international movement peace arbitration,peace,peace
theoretical discoveries topological phase transitions topological phases matter,physics,physics
efforts care wounded soldiers prisoners war families,peace,peace
invention development holographic method,physics,physics
profoundly sensitive fresh beautiful verse consummate skill poetic thought expressed english words literature west,literature,literature
decisive contributions elementary particle physics particular discovery large number resonance states possible development technique using hydrogen bubble chamber data analysis,physics,physics
work rich ideas filled spirit freedom quest truth exerted far reaching influence age,literature,literature
discovery mechanisms biological synthesis ribonucleic acid deoxyribonucleic acid,medicine,medicine
novels perspicuity realistic narrative art diversity universality myth illuminate human condition world today,literature,literature
integrating climate change long run macroeconomic analysis,economics,economics
having developed applied dynamic models analysis economic processes,economics,economics
discoveries concerning nuclear shell structure,physics,medicine
discoveries important principles drug treatment,medicine,medicine
theory stable allocations practice market design,economics,economics
recognition extraordinary services rendered joint researches radiation phenomena discovered professor henri becquerel,physics,physics
eminently practical administration inter parliamentary union,peace,physics
discovery antiproton,physics,physics
studies transition states chemical reactions using femtosecond spectroscopy,chemistry,chemistry
monumental work growth soil,literature,medicine
discoveries cells constitute positioning brain,medicine,medicine
varied rich poetry inspired lofty ideals,literature,literature
research electrophoresis adsorption analysis especially discoveries concerning complex nature serum proteins,chemistry,chemistry
work stereochemistry enzyme catalyzed reactions,chemistry,chemistry
development click chemistry bioorthogonal chemistry,chemistry,chemistry
improvements auction theory inventions new auction formats,economics,economics
discovery ion transporting enzyme na k atpase,chemistry,medicine
discovery superfluidity helium,physics,physics
discovery played hormone anterior pituitary lobe metabolism sugar,medicine,medicine
indefatigable work international understanding pivotal role establishing united nations,peace,peace
contributions theory unified weak electromagnetic interaction elementary particles including inter alia prediction weak neutral current,physics,physics
discovery fixed relationship consumption oxygen metabolism lactic acid muscle,medicine,medicine
master contemporary short story,literature,literature
invention partition chromatography,chemistry,chemistry
efforts build disseminate greater knowledge man climate change lay foundations measures needed counteract change,peace,peace
development ion trap technique,physics,physics
fundamental achievements theoretical experimental physical chemistry macromolecules,chemistry,physics
investigations carotenoids flavins vitamins b,chemistry,chemistry
consideration power observation originality imagination virility ideas remarkable talent narration characterize creations world famous author,literature,literature
long time work cause peace politicians peace society leaders orators authors,peace,peace
discoveries research field x ray spectroscopy,physics,physics
work physiology pathology vestibular apparatus,medicine,medicine
crucial contribution deployment united nations emergency force wake suez crisis,peace,peace
vigorous graphic art description ability create wit humour new types characters,literature,literature
