Text,Label
recognition extraordinary services rendered discovery remarkable rays subsequently named,0
work serum therapy especially application diphtheria opened new road domain medical science placed hands physician victorious weapon illness deaths,1
humanitarian efforts help wounded soldiers create international understanding,2
lifelong work international peace conferences diplomacy arbitration,2
special recognition poetic composition gives evidence lofty idealism artistic perfection rare combination qualities heart intellect,3
recognition extraordinary services rendered discovery laws chemical dynamics osmotic pressure solutions,4
recognition extraordinary services rendered work sugar purine syntheses,4
greatest living master art historical writing special reference monumental work history rome,3
eminently practical administration inter parliamentary union,2
untiring skilful directorship bern peace bureau,2
recognition extraordinary service rendered researches influence magnetism radiation phenomena,0
work malaria shown enters organism laid foundation successful research disease methods combating,1
recognition extraordinary service rendered researches influence magnetism radiation phenomena,0
recognition extraordinary services rendered joint researches radiation phenomena discovered professor henri becquerel,0
longstanding devoted effort favour ideas peace arbitration,2
recognition extraordinary services rendered discovery spontaneous radioactivity,0
recognition extraordinary services rendered joint researches radiation phenomena discovered professor henri becquerel,0
recognition services advancement chemistry discovery elements radium polonium isolation radium study nature compounds remarkable element,4
recognition contribution treatment diseases especially lupus vulgaris concentrated light radiation opened new avenue medical science,1
tribute noble magnificent versatile poetry distinguished freshness inspiration rare purity spirit,3
recognition extraordinary services rendered advancement chemistry electrolytic theory dissociation,4
recognition numerous brilliant compositions individual original manner revived great traditions spanish drama,3
investigations densities important gases discovery argon connection studies,0
striving public law develop peaceful ties nations make laws war humane,2
recognition services discovery inert gaseous elements air determination place periodic,4
recognition work physiology digestion knowledge vital aspects subject transformed enlarged,1
recognition fresh originality true inspiration poetic production faithfully reflects natural scenery native spirit people addition significant work proven ccedil al philologist,3
recognition services advancement organic chemistry chemical industry work organic dyes hydroaromatic compounds,4
outstanding merits epic writer,3
work cathode rays,0
audacity oppose horrors war,2
investigations discoveries relation tuberculosis,1
consideration deep learning critical research tribute creative energy freshness style lyrical force characterize poetic masterpieces,3
role bringing end bloody war recently waged world s great powers japan russia,2
recognition great merits theoretical experimental investigations conduction electricity gases,0
recognition work structure nervous,1
recognition great services rendered investigation isolation element fluorine adoption service science electric furnace called,4
recognition work structure nervous,1
recognition work role played protozoa causing diseases,1
biochemical researches discovery cell free fermentation,4
consideration power observation originality imagination virility ideas remarkable talent narration characterize creations world famous author,3
decisive influence conduct outcome hague geneva conferences,2
work press peace meetings public private understanding france italy,2
optical precision instruments spectroscopic metrological investigations carried aid,0
investigations disintegration elements chemistry radioactive substances,4
recognition earnest search truth penetrating power thought wide range vision warmth strength presentation numerous works vindicated developed idealistic philosophy life,3
long time work cause peace politicians peace society leaders orators authors,2
recognition work immunity,1
recognition work immunity,1
long time work cause peace politicians peace society leaders orators authors,2
method reproducing colours photographically based phenomenon interference,0
recognition contributions development wireless telegraphy,0
work physiology pathology surgery thyroid gland,1
appreciation lofty idealism vivid imagination spiritual perception characterize writings,3
recognition work catalysis investigations fundamental principles governing chemical equilibria rates reaction,4
recognition contributions development wireless telegraphy,0
prominent position international movement peace arbitration,2
prominent position international movement peace arbitration,2
tribute consummate artistry permeated idealism demonstrated long productive career lyric poet dramatist novelist writer world renowned short stories,3
acting link peace societies various countries helping organize world rallies international peace movement,2
work equation state gases liquids,0
recognition contributions knowledge cell chemistry work proteins including nucleic substances,1
recognition services organic chemistry chemical industry pioneer work field alicyclic compounds,4
effort expose fight considers main cause war anarchy international relations,2
role founder institut droit international initiator conferences international private law conf rences droit international priv hague pioneer field international legal relations,2
recognition extraordinary services rendered joint researches radiation phenomena discovered professor henri becquerel,0
recognition services advancement chemistry discovery elements radium polonium isolation radium study nature compounds remarkable element,4
discoveries regarding laws governing radiation heat,0
appreciation sided literary activities especially dramatic works distinguished wealth imagination poetic fancy reveals guise fairy tale deep inspiration mysterious way appeal readers feelings stimulate imaginations,3
work dioptrics eye,1
primarily recognition fruitful varied outstanding production realm dramatic art,3
recognition work vascular suture transplantation blood vessels organs,1
method hydrogenating organic compounds presence finely disintegrated metals progress organic chemistry greatly advanced recent years,4
discovery called grignard reagent recent years greatly advanced progress organic chemistry,4
invention automatic regulators use conjunction gas accumulators illuminating lighthouses buoys,0
bringing better understanding countries north south america initiating important arbitration agreements united states countries,2
recognition work anaphylaxis,1
recognition work linkage atoms molecules thrown new light earlier investigations opened new fields research especially inorganic chemistry,4
unparalleled contribution organization peaceful internationalism,2
profoundly sensitive fresh beautiful verse consummate skill poetic thought expressed english words literature west,3
investigations properties matter low temperatures led inter alia production liquid helium,0
discovery diffraction x rays crystals,0
work physiology pathology vestibular apparatus,1
recognition accurate determinations atomic weight large number chemical elements,4
services analysis crystal structure means x rays,0
services analysis crystal structure means x rays,0
researches plant pigments especially chlorophyll,4
tribute lofty idealism literary production sympathy love truth described different types human beings,3
recognition significance leading representative new era literature,3
efforts care wounded soldiers prisoners war families,2
great work performed war behalf humanity,2
promoting principles geneva convention cooperation,2
discovery characteristic r ouml ntgen radiation elements,0
varied rich poetry inspired lofty ideals,3
authentic descriptions present day life denmark,3
recognition services rendered advancement physics discovery energy quanta,0
synthesis ammonia elements,4
role founder league nations,2
discoveries relating immunity,1
discovery doppler effect canal rays splitting spectral lines electric fields,0
special appreciation epic olympian spring,3
recognition service rendered precision measurements physics discovery anomalies nickel steel alloys,0
recognition work thermochemistry,4
discovery capillary motor regulating mechanism,1
longstanding contribution cause peace justice prominent role establishment league nations,2
monumental work growth soil,3
recognition brilliant literary achievements characterized nobility style profound human sympathy grace true gallic temperament,3
lifelong contributions cause peace organized internationalism,2
services theoretical physics especially discovery law photoelectric effect,0
contributions knowledge chemistry radioactive substances investigations origin nature isotopes,4
lifelong contributions cause peace organized internationalism,2
services investigation structure atoms radiation emanating,0
leading role repatriation prisoners war international relief work league nations high commissioner refugees,2
discovery means mass spectrograph isotopes large number non radioactive elements enunciation number rule,4
discovery fixed relationship consumption oxygen metabolism lactic acid muscle,1
happy manner continued illustrious traditions spanish drama,3
discovery relating production heat muscle,1
discovery insulin,1
discovery insulin,1
work elementary charge electricity photoelectric effect,0
invention method micro analysis organic substances,4
inspired poetry highly artistic form gives expression spirit nation,3
great national epic peasants,3
discovery mechanism electrocardiogram,1
discoveries research field x ray spectroscopy,0
discovery laws governing impact electron atom,0
discovery laws governing impact electron atom,0
crucial role bringing locarno treaty,2
crucial role bringing dawes plan,2
demonstration heterogenous nature colloid solutions methods used fundamental modern colloid chemistry,4
work marked idealism humanity stimulating satire infused singular poetic beauty,3
crucial role bringing locarno treaty,2
crucial role bringing locarno treaty,2
idealistically inspired writings plastic clarity picture life native island depth sympathy deal human problems general,3
discovery spiroptera carcinoma,1
work discontinuous structure matter especially discovery sedimentation equilibrium,0
work disperse systems,4
recognition rich vitalizing ideas brilliant skill presented,3
contribution emergence france germany public opinion favours peaceful international cooperation,2
discovery effect named,0
method making paths electrically charged particles visible condensation vapour,0
discovery therapeutic value malaria inoculation treatment dementia paralytica,1
investigations constitution bile acids related substances,4
contribution emergence france germany public opinion favours peaceful international cooperation,2
work typhus,1
services rendered research constitution sterols connection vitamins,4
work thermionic phenomenon especially discovery law named,0
